""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-15_None_Tumor"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-16_None_Stroma"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-23_None_Tumor"	"RCC5-5_None_Tumor"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"ABL1"	0	0	0	1.40860239086312	0	0	0	0	0	2.51789875472167	0	1.85067084932289	0	0	0	0	0	1.92544950968523	0	0	0	0	0	0	0	1.43572485828435	1.53769652400313	1.35374862108525	1.86309641273877	0	0.633904346997085	2.71894437346008	1.56524892200075	0	1.92544950968523	1.30837295618739	0	0	0	0	0	0	0	0	0	0	0	1.83335888087173	0	0
"ABL2"	0	0	2.61375573973199	0	0	0	0	0	0	0	0	0.850587525780985	0	0	0	0	0	0	0	0	0	2.96785655597551	0	3.28988561019803	0	1.61011025131821	1.95865192788642	1.90862732886202	0	0	1.69097711722387	2.45300563550889	1.56524892200075	2.36448459280736	1.92544950968523	1.85634439809126	0	0	2.25814306368322	0	0	0	0	0	0	3.03504818400374	0	0	0	0
"ACE"	0	0	0	0	0	1.80798367205103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28988561019803	0	1.33562034266272	0.796584527853779	1.35374862108525	0	0	0.633904346997085	0	0.921694600176867	0	0	1.61943235365141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACE2"	0	0	1.99130826597491	0	0	1.26668548169973	0	0	0	0	0	2.04188365339328	0	0	0	0	0	2.54289734536132	0	0	0	0	0	0	2.10786596166046	0.788915822269023	1.03919093954316	1.06973549262296	0	3.10252109919077	0	0	0.921694600176867	1.76117604585597	0	1.30837295618739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACKR1"	0	0	0	0	2.38840410510257	0	0	0	0	0	0	0.850587525780985	0	0	0	0	0	0	0	0	0	0	0	0	0	0.956028668901459	1.03919093954316	0.671568134320715	1.86309641273877	0	0.633904346997085	2.45300563550889	0.563478671338737	0	0	0.85444692513942	0	0	1.66442885886046	0	0	0	2.97665005709066	0	0	0	0	0	0	2.75956043448145
"ACKR3"	2.18733050369102	0	0	1.97136480093404	1.78306268190063	0	0	0	0	0	0	0.850587525780985	0	0	0	3.4584982354995	0	0	0	0	0	0	0	3.28988561019803	0	1.09917260245848	0.796584527853779	1.06973549262296	1.86309641273877	0	0	1.51316409567626	1.84013872929456	0	0	0	0	0	0	0	0	0	0	0	0	3.03504818400374	0	0	0	0
"ACKR4"	0	0	0	0	0	0	0	0	0	0	0	1.30346795599205	0	0	0	0	3.75341797525151	1.92544950968523	0	0	0	0	0	0	0	0.788915822269023	0.475598144981732	0.671568134320715	2.47547197257124	0	1.01881537182781	0	1.39304464601468	0	0	1.61943235365141	0	0	1.66442885886046	0	0	0	0	0	0	0	0	0	0	0
"ACTA2"	2.18733050369102	3.04642919776342	0	1.97136480093404	2.38840410510257	0	0	0	0	0	0	1.61404041982282	0	0	0	0	0	1.92544950968523	0	0	3.38405218891788	0	0	0	0	0.956028668901459	1.86884192234431	1.35374862108525	0	3.49289430463993	1.01881537182781	3.49255090741425	1.56524892200075	1.76117604585597	0	1.30837295618739	3.32797129238541	0	2.6281383437777	0	0	0	0	0	3.78513479817016	0	0	0	0	0
"ACTG2"	0	0	0	1.97136480093404	2.38840410510257	1.80798367205103	0	0	0	0	0	1.30346795599205	0	0	0	0	0	0	0	0	0	2.96785655597551	0	0	0	0.788915822269023	0.475598144981732	0.671568134320715	0	0	0	1.51316409567626	0.921694600176867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83335888087173	0	0
"ACVR1"	2.82273420624622	0	1.99130826597491	0	0	0	0	0	0	2.51789875472167	0	0.850587525780985	0	0	0	0	0	1.92544950968523	0	0	0	0	0	0	0	1.68708373891235	0.796584527853779	1.57468432721998	0	0	1.01881537182781	1.51316409567626	1.39304464601468	0	0	1.85634439809126	0	0	0	0	0	3.62069794169786	0	0	0	0	0	0	0	0
