""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-14_None_Stroma"	"RCC3-15_None_Tumor"	"RCC3-16_None_Stroma"	"RCC3-17_None_Tumor"	"RCC3-18_None_Stroma"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-6_None_Stroma"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-12_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-15_None_Tumor"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC4-9_None_Tumor"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-14_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-20_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-22_None_Stroma"	"RCC5-23_None_Tumor"	"RCC5-4_None_Stroma"	"RCC5-5_None_Tumor"	"RCC5-6_None_Stroma"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"ABL1"	1.4710987374218	0	0	1.39795674245062	1.61343206916522	0.691153161953081	1.73109612299393	1.50506983680052	0	1.44615474904357	1.49842482065082	0	1.18847218350703	0.709856092689775	1.40503300768055	1.80677708455378	2.44175376666954	1.96404146525486	0.867611058837922	1.73007715128453	1.19856343271331	0	1.72141255695404	2.27402056526025	0	0	0.895877975016715	1.15825132142965	0	1.31262501752792	1.37707109153653	0	1.52394449758562	1.28809647358862	0	0.695757361742718	0	1.27158907641187	0	2.92346442748101	1.3455690134472	0.834533225133335	0	0.689319281973176	0.662428367171038	1.14035735952255	2.20376978478567	0	0	1.26121975459552	1.36017402065684	1.53655959393332	1.61417468944998	1.16753768149516	0	1.35680981354714	0	1.07721272466969	2.45235860004741	0.744592481083309	1.1597518700716	1.05983780628639
"ABL2"	1.79691692201161	0	0	0.566296650926255	1.98146343234273	2.07594939545195	1.20099439557168	0	0	1.44615474904357	1.49842482065082	1.97523148406993	1.71633991396968	1.41125418690513	1.62941340509472	1.65676441516766	0	1.62637064843476	1.63776224601124	1.73007715128453	2.07267524268755	0	0.764586349421587	0	0	0	1.67680797684429	1.15825132142965	0	1.68887039760827	1.76955476356816	1.83225603688513	1.96778248807351	2.18353508951117	1.92645099020739	1.39020708243973	1.4249289318177	1.81368909019501	1.66269508910763	0	1.89922910168329	1.71615274672792	0	2.19040926080852	1.74002434910389	1.14035735952255	0	0	0	1.26121975459552	2.04890070081061	2.11591081941489	1.1025611593373	1.42622527048256	2.19438517880036	2.16218322659944	2.7902246111565	1.764937687356	0	1.87608774620599	1.1597518700716	1.68648043988057
"ACE"	0.984699834141373	0	0	0.566296650926255	1.17351543876884	1.60624557133513	1.85962269285211	1.01241298130632	2.25546304997313	0	1.49842482065082	0	0	0.709856092689775	0.705678545198075	0	0	0.703763692536909	0.867611058837922	0.9349278578729	0.933567498834603	0	1.19277370326856	1.67881431977764	0	0	0	1.68058951233203	0	1.68887039760827	1.83920988633697	0	1.40545867751889	0.838519016270828	2.54397753801608	1.39020708243973	1.4249289318177	0.618156990954837	1.66269508910763	0	0.666182057835785	1.28300861944194	2.01535092946531	1.38054700437752	1.20858447663503	2.25250619579642	1.30464133586588	0	0	0	0.675809646837295	0.547956049249445	1.1025611593373	0.667258255507096	0	1.07244706166498	0	0.677140592473522	0	1.46250270826738	1.1597518700716	0.487741805951425
"ACE2"	1.88555750497531	0	0	0.566296650926255	1.17351543876884	1.09595271263235	1.20099439557168	0	0	0	0.769279971894947	1.41199720283818	0	0.709856092689775	1.40503300768055	1.26564896878434	0	1.62637064843476	0	1.97242949798354	1.40784408085192	2.0952636775549	1.72141255695404	0	0	0	1.67680797684429	0.738206580390043	0	1.55485151483143	1.47855484003744	2.18289457143889	1.27102297859114	0.504688534493846	0	1.61361093831174	0	0.997321388883502	2.25622786427144	0	0.666182057835785	0.834533225133335	1.67439635406387	0.689319281973176	0.662428367171038	0	0	0	0	0	0.675809646837295	1.36579972561463	0.696110294497546	0.490168380377341	0	1.07244706166498	0	1.07721272466969	0	0.744592481083309	0	1.79659348917168
"ACKR1"	0	0	0	0.925631492455476	0.638340202283476	1.09595271263235	1.20099439557168	1.01241298130632	0	0	0.769279971894947	0	1.18847218350703	1.12082936712781	1.11528611944719	1.65676441516766	0	1.62637064843476	0.867611058837922	1.73007715128453	0.571986718246761	0	1.19277370326856	1.67881431977764	0	0	0	1.15825132142965	0	0.857795834066516	0.72188673906048	0	0	1.28809647358862	0	1.10209101842728	1.4249289318177	0.997321388883502	1.66269508910763	2.92346442748101	1.56593765173353	0.681987063747083	0	1.09350516076705	0	1.84367409057189	0.851510408502765	0	0	0	0.675809646837295	0	0	0.817655191124003	1.60688281682492	0.673587722772853	2.15667321234967	1.36218736323599	0	1.16663423259724	0.739348724854567	0.487741805951425
"ACKR3"	0	2.07581874467502	0	0.925631492455476	0.850152456438043	0.691153161953081	0	1.01241298130632	2.25546304997313	0	0	0	0	0	0	1.26564896878434	3.97904401451937	0.703763692536909	1.32506527488369	0	1.40784408085192	0	1.72141255695404	0	0	0	1.67680797684429	0	0	1.86125918309788	1.47855484003744	1.28757375420407	1.11566528353206	1.45450134870427	0	1.39020708243973	1.98994408473183	1.81368909019501	0	0	1.06249475289832	0.681987063747083	0	1.38054700437752	1.20858447663503	0	0.851510408502765	0	0	0	1.36017402065684	0.547956049249445	0	1.06394260735025	0	1.07244706166498	0	1.58370292872339	0	1.16663423259724	0.739348724854567	0.944522724196103
"ACKR4"	0.750474833685239	2.70418541700316	0	0	0.850152456438043	0.691153161953081	1.20099439557168	1.50506983680052	0	0	1.49842482065082	1.97523148406993	1.18847218350703	1.12082936712781	0.705678545198075	1.65676441516766	0	1.8093915515859	2.4890417349358	0.9349278578729	0	0	1.19277370326856	0	0	0	0.895877975016715	0.738206580390043	0	1.31262501752792	1.26411297496066	2.18289457143889	0.931651454097095	0.838519016270828	0	1.10209101842728	2.61229154689289	1.27158907641187	0	0	1.74640497939821	0.681987063747083	0	1.09350516076705	0.879313273009568	0	0.851510408502765	0	0	0	0.675809646837295	1.36579972561463	1.39073574600056	0.948361999615113	2.56200059012028	0	1.5730164873976	0	0	1.69052612516902	1.1597518700716	1.05983780628639
"ACTA2"	0.984699834141373	3.47722636099087	0	2.57928385152353	1.77721190392516	2.19367690177495	1.58357981299711	2.08055796748234	0	2.37399927317001	2.07308014163831	1.41199720283818	2.06002793044603	1.41125418690513	2.58796289279933	1.80677708455378	0	2.09794711976858	0.867611058837922	2.16735494571412	1.19856343271331	0	2.32090083166808	2.64458443575225	0	0	0.895877975016715	0.738206580390043	0	1.62410441063977	1.37707109153653	0	1.11566528353206	2.18353508951117	0	2.30727852480005	2.34877063814069	2.56318414356384	2.25622786427144	0	2.34831379529604	2.01739223325537	2.01535092946531	1.93933903819439	1.74002434910389	1.43313713463297	1.85202847928975	0	3.62602142144403	0	2.60661599027202	3.25077264414461	2.57041288205239	1.34720521825823	0	0	1.5730164873976	2.16858883633388	2.45235860004741	0.744592481083309	1.68236931078481	0.664208176774135
"ACTG2"	1.17434138499202	0	0	0.925631492455476	1.4174719990548	1.09595271263235	0.935680221383008	1.83365325644153	0	0	0	0	0	0.709856092689775	0	0.614355175244532	0	0	1.32506527488369	1.40953699762249	1.19856343271331	0	1.19277370326856	1.67881431977764	0	0	1.67680797684429	0	0	0.518185760899038	0.819769108440169	0	0.931651454097095	1.28809647358862	0	1.39020708243973	0	0	1.66269508910763	0	0.666182057835785	0.966859537162726	0	0.689319281973176	0.662428367171038	0	0.851510408502765	0	0	0	1.58155171601472	1.36579972561463	0.696110294497546	1.16753768149516	0	0.673587722772853	0	1.07721272466969	0	0.744592481083309	1.1597518700716	0.814155491199031
"ACVR1"	1.17434138499202	2.07581874467502	0	0.925631492455476	1.61343206916522	0.691153161953081	1.41047304471184	1.01241298130632	0	0	1.72861497765258	1.41199720283818	0	1.12082936712781	1.40503300768055	0.992113554858906	0	1.11274273810137	0.867611058837922	1.73007715128453	1.19856343271331	0	1.19277370326856	0	0	0	0	1.45314426530886	0	1.48044343057476	1.76955476356816	0	0.705964112075367	0.838519016270828	2.54397753801608	1.10209101842728	1.4249289318177	1.81368909019501	0	0	1.56593765173353	1.44911566849199	0	1.09350516076705	1.20858447663503	1.14035735952255	0	3.1677142504442	0	0	1.07542812965238	0.899928763654897	0.696110294497546	1.34720521825823	2.56200059012028	1.07244706166498	0	2.05125959903279	2.82870714041151	0.744592481083309	1.1597518700716	1.05983780628639
