"group_id"	"tissue_fov"	"IT.Treatment.before.collection"	"Source"
"RCC3-1_None_Tumor"	"RCC3-1"	"None"	"Tumor"
"RCC3-10_None_Stroma"	"RCC3-10"	"None"	"Stroma"
"RCC3-11_None_Tumor"	"RCC3-11"	"None"	"Tumor"
"RCC3-12_None_Stroma"	"RCC3-12"	"None"	"Stroma"
"RCC3-13_None_Tumor"	"RCC3-13"	"None"	"Tumor"
"RCC3-14_None_Stroma"	"RCC3-14"	"None"	"Stroma"
"RCC3-15_None_Tumor"	"RCC3-15"	"None"	"Tumor"
"RCC3-16_None_Stroma"	"RCC3-16"	"None"	"Stroma"
"RCC3-17_None_Tumor"	"RCC3-17"	"None"	"Tumor"
"RCC3-18_None_Stroma"	"RCC3-18"	"None"	"Stroma"
"RCC3-19_None_Tumor"	"RCC3-19"	"None"	"Tumor"
"RCC3-2_None_Stroma"	"RCC3-2"	"None"	"Stroma"
"RCC3-20_None_Stroma"	"RCC3-20"	"None"	"Stroma"
"RCC3-21_None_Tumor"	"RCC3-21"	"None"	"Tumor"
"RCC3-22_None_Stroma"	"RCC3-22"	"None"	"Stroma"
"RCC3-3_None_Tumor"	"RCC3-3"	"None"	"Tumor"
"RCC3-4_None_Stroma"	"RCC3-4"	"None"	"Stroma"
"RCC3-5_None_Tumor"	"RCC3-5"	"None"	"Tumor"
"RCC3-6_None_Stroma"	"RCC3-6"	"None"	"Stroma"
"RCC3-7_None_Tumor"	"RCC3-7"	"None"	"Tumor"
"RCC3-8_None_Stroma"	"RCC3-8"	"None"	"Stroma"
"RCC3-9_None_Tumor"	"RCC3-9"	"None"	"Tumor"
"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-1"	"Ipi + Nivo"	"Tumor"
"RCC4-10_None_Stroma"	"RCC4-10"	"None"	"Stroma"
"RCC4-11_None_Tumor"	"RCC4-11"	"None"	"Tumor"
"RCC4-12_None_Tumor"	"RCC4-12"	"None"	"Tumor"
"RCC4-13_None_Tumor"	"RCC4-13"	"None"	"Tumor"
"RCC4-14_None_Tumor"	"RCC4-14"	"None"	"Tumor"
"RCC4-15_None_Tumor"	"RCC4-15"	"None"	"Tumor"
"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-17"	"Pembrolizumab and Axitnib"	"Stroma"
"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-18"	"Pembrolizumab and Axitnib"	"Stroma"
"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-19"	"Pembrolizumab and Axitnib"	"Tumor"
"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-2"	"Ipi + Nivo"	"Stroma"
"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-20"	"Pembrolizumab and Axitnib"	"Stroma"
"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-21"	"Pembrolizumab and Axitnib"	"Tumor"
"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-22"	"Pembrolizumab and Axitnib"	"Tumor"
"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-3"	"Ipi + Nivo"	"Tumor"
"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-4"	"Ipi + Nivo"	"Stroma"
"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-5"	"Pembrolizumab and Axitnib"	"Tumor"
"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-6"	"Pembrolizumab and Axitnib"	"Stroma"
"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-7"	"Pembrolizumab and Axitnib"	"Tumor"
"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC4-8"	"Pembrolizumab and Axitnib"	"Stroma"
"RCC4-9_None_Tumor"	"RCC4-9"	"None"	"Tumor"
"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-1"	"Pembrolizumab and Axitnib"	"Tumor"
"RCC5-10_None_Stroma"	"RCC5-10"	"None"	"Stroma"
"RCC5-11_None_Tumor"	"RCC5-11"	"None"	"Tumor"
"RCC5-12_None_Stroma"	"RCC5-12"	"None"	"Stroma"
"RCC5-14_None_Stroma"	"RCC5-14"	"None"	"Stroma"
"RCC5-15_None_Tumor"	"RCC5-15"	"None"	"Tumor"
"RCC5-16_None_Stroma"	"RCC5-16"	"None"	"Stroma"
"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-19"	"Pembrolizumab and Axitnib"	"Tumor"
"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-2"	"Pembrolizumab and Axitnib"	"Stroma"
"RCC5-20_Pembrolizumab and Axitnib_Stroma"	"RCC5-20"	"Pembrolizumab and Axitnib"	"Stroma"
"RCC5-21_None_Tumor"	"RCC5-21"	"None"	"Tumor"
"RCC5-22_None_Stroma"	"RCC5-22"	"None"	"Stroma"
"RCC5-23_None_Tumor"	"RCC5-23"	"None"	"Tumor"
"RCC5-4_None_Stroma"	"RCC5-4"	"None"	"Stroma"
"RCC5-5_None_Tumor"	"RCC5-5"	"None"	"Tumor"
"RCC5-6_None_Stroma"	"RCC5-6"	"None"	"Stroma"
"RCC5-7_None_Tumor"	"RCC5-7"	"None"	"Tumor"
"RCC5-8_None_Stroma"	"RCC5-8"	"None"	"Stroma"
"RCC5-9_None_Tumor"	"RCC5-9"	"None"	"Tumor"
