""	"RCC3-1_None_Tumor"	"RCC3-10_None_Stroma"	"RCC3-11_None_Tumor"	"RCC3-12_None_Stroma"	"RCC3-13_None_Tumor"	"RCC3-14_None_Stroma"	"RCC3-15_None_Tumor"	"RCC3-16_None_Stroma"	"RCC3-17_None_Tumor"	"RCC3-18_None_Stroma"	"RCC3-19_None_Tumor"	"RCC3-2_None_Stroma"	"RCC3-20_None_Stroma"	"RCC3-21_None_Tumor"	"RCC3-22_None_Stroma"	"RCC3-3_None_Tumor"	"RCC3-4_None_Stroma"	"RCC3-5_None_Tumor"	"RCC3-6_None_Stroma"	"RCC3-7_None_Tumor"	"RCC3-8_None_Stroma"	"RCC3-9_None_Tumor"	"RCC4-1_Ipi + Nivo_Tumor"	"RCC4-10_None_Stroma"	"RCC4-11_None_Tumor"	"RCC4-12_None_Tumor"	"RCC4-13_None_Tumor"	"RCC4-14_None_Tumor"	"RCC4-15_None_Tumor"	"RCC4-16_None_Stroma"	"RCC4-17_Pembrolizumab and Axitnib_Stroma"	"RCC4-18_Pembrolizumab and Axitnib_Stroma"	"RCC4-19_Pembrolizumab and Axitnib_Tumor"	"RCC4-2_Ipi + Nivo_Stroma"	"RCC4-20_Pembrolizumab and Axitnib_Stroma"	"RCC4-21_Pembrolizumab and Axitnib_Tumor"	"RCC4-22_Pembrolizumab and Axitnib_Tumor"	"RCC4-3_Ipi + Nivo_Tumor"	"RCC4-4_Ipi + Nivo_Stroma"	"RCC4-5_Pembrolizumab and Axitnib_Tumor"	"RCC4-6_Pembrolizumab and Axitnib_Stroma"	"RCC4-7_Pembrolizumab and Axitnib_Tumor"	"RCC4-8_Pembrolizumab and Axitnib_Stroma"	"RCC4-9_None_Tumor"	"RCC5-1_Pembrolizumab and Axitnib_Tumor"	"RCC5-10_None_Stroma"	"RCC5-11_None_Tumor"	"RCC5-12_None_Stroma"	"RCC5-14_None_Stroma"	"RCC5-15_None_Tumor"	"RCC5-16_None_Stroma"	"RCC5-19_Pembrolizumab and Axitnib_Tumor"	"RCC5-2_Pembrolizumab and Axitnib_Stroma"	"RCC5-20_Pembrolizumab and Axitnib_Stroma"	"RCC5-21_None_Tumor"	"RCC5-23_None_Tumor"	"RCC5-4_None_Stroma"	"RCC5-5_None_Tumor"	"RCC5-6_None_Stroma"	"RCC5-7_None_Tumor"	"RCC5-8_None_Stroma"	"RCC5-9_None_Tumor"
"ABL1"	1.94883010990704	0	0	0	0	0	2.14493407592794	2.56642755433085	0	0	0	0	1.80777059747919	1.66165694123613	1.73377801007416	0	0	0	0	0	1.67881431977764	0	1.9140282541557	0	0	0	0	2.40245316583027	0	0	0	0	0	1.00477839626975	0	0	1.73955974323463	0	2.25801524284491	0	1.89898761979795	2.19509408385393	1.93586352124371	0	2.17964170677835	0	0	0	0	0	0	0	0	0	0	0.680877087968131	0	0	0	1.77609937832505	1.92394980709506	0
"ABL2"	0	0	0	2.58777328339773	0	0	2.14493407592794	2.56642755433085	0	0	0	0	0	0	0	2.40382540604214	0	2.20616318433703	0	1.93755687852634	2.64458443575225	0	0	0	0	0	0	0	0	0	0	0	0	1.49573242484409	0	1.2565256720442	2.71366819340643	0	1.34929213876356	0	1.06230891241267	1.60752067267123	2.18680390681599	0	0	0	0	0	0	0	0	2.51059203726549	0	2.29021416953387	2.11424399841647	1.58973284135477	0	0	3.25809653802148	2.38079930126505	1.92394980709506	2.09214460593609
"ACE"	0	0	0	0	0	0	0	0	0	0	0	2.89074961544836	0	0	2.97797650106947	0	0	0	0	0	1.67881431977764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13985095163261	0.666043950614367	0	0	0	0	2.57199359828721	2.87482982910208	0	0	0	0	0	0	0	2.11424399841647	1.08221847889243	0	0	0	1.77609937832505	0	1.51537695203021
"ACE2"	3.22214560875419	0	0	1.96712095815354	0	0	2.14493407592794	0	0	2.32985368712411	0	0	0	1.66165694123613	0	2.40382540604214	2.6108298331905	2.20616318433703	3.87473250368936	0	1.67881431977764	0	0	0	0	0	0	2.40245316583027	0	0	3.00355599440811	2.08841810464014	0	1.00477839626975	0	0	2.34081217434162	0	1.34929213876356	0	1.56571298628611	0	0	0	0	0	1.88314316394171	0	0	0	0	0	0	0	2.11424399841647	1.36783229828016	0	0	0	0	0	0
"ACKR1"	0	0	4.16654216959619	0	0	3.15580439182443	0	0	0	0	0	0	2.41534932603235	0	0	0	0	0	0	1.93755687852634	1.67881431977764	0	1.9140282541557	0	4.37102888046434	0	0	0	0	0	2.35882780460746	0	0	0	0	1.2565256720442	1.73955974323463	0	0	1.13985095163261	0	0	0	0	0	0	0	2.65825754389449	0	0	0	0	0	0	0	1.36783229828016	0	0	0	0	1.92394980709506	0
"ACKR3"	0	0	0	0	1.45339535345086	0	2.14493407592794	2.56642755433085	0	0	0	0	0	1.66165694123613	0	1.79719676565528	0	2.20616318433703	0	2.55595062817341	0	0	2.53057238575865	0	0	0	0	2.40245316583027	0	0	0	0	0	2.07004853471723	0	2.40268171581532	0	3.50429727953181	0	1.99862553558427	0	0	0	0	0	0	1.88314316394171	0	0	0	0	2.51059203726549	2.0421170844929	1.6935081435172	2.11424399841647	0.680877087968131	0	0	0	0	0	0
"ACKR4"	1.94883010990704	2.30673559971927	0	2.58777328339773	0	0	0	0	0	0	0	0	0	2.62496545469943	0	2.40382540604214	2.6108298331905	2.20616318433703	0	0	0	0	0	0	0	0	0	2.40245316583027	0	0	0	0	0	1.00477839626975	0	1.7961479158672	1.73955974323463	0	1.34929213876356	1.65872409078554	0	1.60752067267123	0	0	2.17964170677835	0	1.88314316394171	2.65825754389449	0	0	0	0	0	0	0	1.58973284135477	0	0	0	0	0	0
"ACTA2"	0	2.30673559971927	0	0	2.02223974671501	0	0	0	0	2.97312237002494	0	0	2.41534932603235	0	3.76022387090402	0	0	0	3.87473250368936	0	0	0	3.57464862789612	0	0	0	0	0	0	0	3.39234606353145	2.08841810464014	0	0	2.97453179122971	0	2.34081217434162	0	1.34929213876356	2.25184001049852	1.74617051740075	0	2.18680390681599	0	2.81458649584905	0	0	2.65825754389449	0	0	0	2.51059203726549	3.7194437868575	3.31894406550456	0	1.08221847889243	0	2.23433661255518	3.25809653802148	0	2.54127961337563	0
"ACTG2"	0	0	0	0	0	3.15580439182443	0	2.56642755433085	0	0	0	0	0	1.66165694123613	0	1.79719676565528	2.99149886123521	1.61748624561693	0	1.93755687852634	2.91434821331261	0	1.9140282541557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34929213876356	1.13985095163261	0.666043950614367	1.60752067267123	0	0	0	2.57199359828721	0	0	0	0	0	0	0	0	0	0	0	0	4.61512051684126	0	1.92394980709506	0
"ACVR1"	0	0	0	1.96712095815354	0	3.15580439182443	2.14493407592794	0	0	0	0	0	0	1.66165694123613	2.33447218499518	1.79719676565528	0	1.61748624561693	0	0	0	0	0	0	0	0	0	0	0	3.56403358500851	0	0	0	1.49573242484409	1.55098020908326	0	0	0	0	1.13985095163261	1.06230891241267	0	1.09080698379488	0	0	0	0	0	0	4.98599306783337	0	0	0	0	0	0	0	0	0	0	0	2.09214460593609
