"group_id"	"tissue_fov"	"IT.Treatment.before.collection"	"lasso_final"	"Source"
"RCC3-1_None_B cell_Tumor"	"RCC3-1"	"None"	"B cell"	"Tumor"
"RCC3-1_None_Capillary endothelium_Tumor"	"RCC3-1"	"None"	"Capillary endothelium"	"Tumor"
"RCC3-1_None_CD8 T cell_Tumor"	"RCC3-1"	"None"	"CD8 T cell"	"Tumor"
"RCC3-1_None_Collecting duct cell_Tumor"	"RCC3-1"	"None"	"Collecting duct cell"	"Tumor"
"RCC3-1_None_Epithelial progenitor cell_Tumor"	"RCC3-1"	"None"	"Epithelial progenitor cell"	"Tumor"
"RCC3-1_None_Fibroblast_Tumor"	"RCC3-1"	"None"	"Fibroblast"	"Tumor"
"RCC3-1_None_gdT cell_Tumor"	"RCC3-1"	"None"	"gdT cell"	"Tumor"
"RCC3-1_None_Intermediate monocyte_Tumor"	"RCC3-1"	"None"	"Intermediate monocyte"	"Tumor"
"RCC3-1_None_M1 Macrophage (STAT1)_Tumor"	"RCC3-1"	"None"	"M1 Macrophage (STAT1)"	"Tumor"
"RCC3-1_None_M2 macrophage (CD163)_Tumor"	"RCC3-1"	"None"	"M2 macrophage (CD163)"	"Tumor"
"RCC3-1_None_Mast cell_Tumor"	"RCC3-1"	"None"	"Mast cell"	"Tumor"
"RCC3-1_None_Myeloid DC_Tumor"	"RCC3-1"	"None"	"Myeloid DC"	"Tumor"
"RCC3-1_None_Myofibroblast_Tumor"	"RCC3-1"	"None"	"Myofibroblast"	"Tumor"
"RCC3-1_None_Naive B cell_Tumor"	"RCC3-1"	"None"	"Naive B cell"	"Tumor"
"RCC3-1_None_Naive CD4 T cell_Tumor"	"RCC3-1"	"None"	"Naive CD4 T cell"	"Tumor"
"RCC3-1_None_Naive T cell_Tumor"	"RCC3-1"	"None"	"Naive T cell"	"Tumor"
"RCC3-1_None_Neutrophil_Tumor"	"RCC3-1"	"None"	"Neutrophil"	"Tumor"
"RCC3-1_None_NK cell_Tumor"	"RCC3-1"	"None"	"NK cell"	"Tumor"
"RCC3-1_None_Non-classical monocyte_Tumor"	"RCC3-1"	"None"	"Non-classical monocyte"	"Tumor"
"RCC3-1_None_Plasmacytoid dendritic cell_Tumor"	"RCC3-1"	"None"	"Plasmacytoid dendritic cell"	"Tumor"
"RCC3-1_None_Possibly Mid-Rep (Misc. Cells)_Tumor"	"RCC3-1"	"None"	"Possibly Mid-Rep (Misc. Cells)"	"Tumor"
